WELL;DEPTH_MD;X_LOC;Y_LOC;Z_LOC;GROUP;FORMATION;CALI;RSHA;RMED;RDEP;RHOB;GR;SGR;NPHI;PEF;DTC;SP;BS;ROP;DTS;DCAL;DRHO;MUDWEIGHT;RMIC;ROPA;RXO;FORCE_2020_LITHOFACIES_LITHOLOGY;FORCE_2020_LITHOFACIES_CONFIDENCE;Cluster
33/5-2;4494.5760691;426902.625;6837584.0;-4465.28125;HEGRE GP.;Lunde Fm.;6.1364979744;;12.971188545;6.8769011497;2.6033694744;73.406433105;;0.1690041423;;64.509552002;81.47265625;6.0;;;;-0.010067615;;;;;65000;1.0;1
25/7-2;3764.68;454856.84375;6570992.5;-3737.233154;CROMER KNOLL GP.;Roedby Fm.;13.302499771;8.3386726379;4.6461744308;0.4582656026;2.6093258858;44.942893982;;;;76.377822876;;12.250000954;2.6612398624;;1.0602457523;-0.003113124;;6.8499221802;;6.8644824028;65000;1.0;1
16/11-1 ST3;1106.3852007;474567.78125;6436487.0;-1079.371216;HORDALAND GP.;;13.438024521;;1.0535112619;0.8509919643;;54.488685608;;;;185.40158081;49.155181885;12.250000954;9.3676958084;;;;;;;;65000;1.0;2
16/7-5;2756.5679852;446271.5;6468386.5;-2729.622559;VIKING GP.;Skagerrak Fm.;8.2391061783;7.8762125969;6.169986248;2.0869448185;2.552426815;25.221477509;;0.0563635826;4.4036669731;72.665351868;69.949996948;;6.9574999809;;;-0.01189829;1.3300731182;;;;30000;1.0;1
25/8-5 S;3272.0624;464231.375;6590328.5;-2818.311035;DUNLIN GP.;Statfjord Fm.;8.7667131424;0.9518554807;0.9345456362;0.7819333076;2.2356786728;94.841918945;;0.216549471;3.6226906776;;;8.5;27.094133377;;0.2667129934;-0.00722808;1.4139515162;;;0.9234110117;65030;1.0;1
35/9-2;2033.2083577;550239.0;6800627.0;-2001.00647;CROMER KNOLL GP.;Aasgard Fm.;8.8432979584;;7.7023253441;5.659661293;2.5898017883;106.38783264;116.11122131;0.2752275169;;108.05080414;54.399341583;8.5;;188.63380432;0.3432982266;0.0240299162;;;;;80000;1.0;1
25/2-7;943.61800061;479887.84375;6641111.5;-918.6051025;NORDLAND GP.;;23.437635422;0.6371163726;0.6371163726;0.8030290604;2.1286315918;25.749767303;;;4.7029819489;142.56922913;38.793998718;17.5;1.2211537361;;;0.0530767366;0.1270159781;;;;30000;1.0;2
35/9-6 S;2728.2;536942.125;6804541.0;-2653.608154;SHETLAND GP.;Kyrre Fm.;12.065034866;;3.5702118874;3.2838904858;2.5097134113;56.854976654;;0.1031020209;;80.052062988;;;;;;0.0097166784;;2.7131781578;11.57174015;;70000;1.0;1
35/8-6 S;3620.5028;518359.21875;6798620.5;-3268.132568;VIKING GP.;Draupne Fm.;12.378483772;;1.1393145323;1.1536101103;2.5086374283;120.94319916;;0.333704859;5.8550157547;;;12.250000954;45.857467651;;;0.0307822675;;;39.824924469;;65000;1.0;1
30/6-5;2881.8104;497437.46875;6728318.0;-2856.71582;BAAT GP.;Etive Fm.;8.4531002045;4.7371344566;16.785856247;19.026918411;2.2821457386;28.693077087;;0.211389631;4.5259022713;93.631820679;59.21440506;;;;;0.0130611416;;;;4.4959220886;30000;1.0;1
34/2-4;2247.713436;482079.96875;6847172.5;-2214.654053;SHETLAND GP.;Jorsalfare Fm.;13.234291077;1.3071539402;1.2836427689;1.2748713493;2.1409037113;37.738857269;;;14.494537354;119.72780609;56.379863739;;;;;0.0016958152;;;;;30000;1.0;2
25/3-1;3003.176;487273.46875;6643970.5;-2980.744141;CROMER KNOLL GP.;Vaale Fm.;15.257297516;0.4303866029;0.9398480654;1.1394386292;1.77744174;56.340877533;;0.4521748126;57.64635849;105.17201233;220.53877258;12.250000954;24.42493248;;4.5094408989;-0.02275433;2.3965280056;;;0.4757392108;65000;1.0;2
25/11-5;1391.6407189;463756.0;6562935.0;-1368.140747;HORDALAND GP.;Skade Fm.;11.964633942;;0.7764648795;0.6534507871;2.3699703217;48.772502899;;0.577393055;;152.11125183;49.030155182;12.250000954;55.677303314;;-0.285366535;-0.273000002;1.126368165;;;;65000;2.0;2
30/3-3;1268.254;497355.59375;6737313.0;-1246.213379;HORDALAND GP.;Utsira Fm.;17.713588715;1.2656517029;1.157143116;1.2319660187;1.9318355322;34.927001953;;;6.1497893333;145.40713501;58.190681458;;;;;-0.00317813;;;;1.2678608894;65030;2.0;2
16/10-1;563.90378984;444151.875;6435549.5;-538.8617554;NORDLAND GP.;;19.979509354;1.0904428959;0.8590966463;1.0144528151;;110.15743256;;;;161.91793823;78.039741516;17.5;16.110239029;;2.4795100689;;0.1378003508;;;1.0659028292;65000;1.0;2
16/4-1;2290.3136039;449956.4375;6500265.0;-2264.706055;SHETLAND GP.;Vaale Fm.;12.656000137;7.9669060707;9.2886676788;3.5657324791;2.5764117241;14.544176102;;0.0844560489;;69.125015259;141.9773407;12.250000954;5.9875197411;;0.4060001075;-0.022;0.1497830003;;;9.0763921738;70000;1.0;1
25/5-4;2794.9683052;470378.8125;6608135.0;-2769.32959;VIKING GP.;Draupne Fm.;12.935365677;1.3454552889;3.1470518112;3.0651292801;1.9711515903;113.20022583;;0.5367133021;3.3694963455;117.01902771;83.530883789;12.250000954;;;0.685362041;0.0732999966;;;;1.6799401045;65000;1.0;2
16/5-3;1754.926;474409.75;6510407.0;-1732.881226;SHETLAND GP.;Hod Fm.;8.4798374176;;3.7830955982;3.737180233;2.4364783764;47.354785919;;0.2096092254;4.4600934982;83.868721008;;8.5;23.340467453;170.68727112;;-0.005730625;;3.224642992;24.375259399;;80000;1.0;1
15/9-17;1293.0779984;438593.84375;6478952.0;-1271.041016;HORDALAND GP.;Utsira Fm.;14.233254433;1.0844501257;1.2992448807;1.4530981779;1.8978388309;65.08732605;70.948600769;0.5104667544;3.6990842819;148.26913452;36.847885132;;26.885757446;;;0.0405117087;0.1354038268;;;1.0712461472;65000;1.0;2
35/9-5;3453.9435872;543553.875;6799376.5;-3434.098389;VIKING GP.;Krossfjord Fm.;8.4611291885;;13.306020737;12.899409294;2.6109101772;109.16160583;;0.2915764749;3.1666917801;72.549957275;;8.5;31.154851913;130.94606018;;-0.004175597;;10.849431038;55.292819977;;65030;1.0;1
31/5-4 S;1539.63;530823.125;6732108.0;-1462.781738;VIKING GP.;Draupne Fm.;12.359399796;37.857387543;0.1520865113;1.3961111307;1.926215291;89.190078735;;0.5445818901;;;11.619375229;;;;;-0.165189624;;;;37.857311249;65000;2.0;2
35/3-7 S;3249.7398514;543905.75;6856660.0;-3145.618164;SHETLAND GP.;Svarte Fm.;8.4922113419;;5.4538817406;5.0399475098;2.6189162731;80.252426147;;0.1771274209;4.7395467758;78.016456604;;8.5;8.2576675415;155.91764832;;-0.006275898;;5.9759659767;1.2099882364;;65000;1.0;1
34/7-21;1476.478;450304.5625;6795996.5;-1450.365723;HORDALAND GP.;Utsira Fm.;18.905487061;;0.8824967742;0.6258136034;2.0607559681;88.025085449;;;7.383084774;149.53742981;47.305122375;;;;;0.0280352365;;;;;65000;2.0;2
34/10-33;3539.064;457847.65625;6777166.0;-3502.174561;DUNLIN GP.;Cook Fm.;8.6246919632;5.2858090401;;4.5166816711;2.4613742828;58.903690338;;0.1921062022;;79.377006531;;8.5;;;;0.0053886562;;;;;65030;1.0;1
25/2-13 T4;3826.464;469380.625;6628686.5;-3799.918945;DUNLIN GP.;Statfjord Fm.;8.5973939896;7.6215853691;5.0455026627;4.7047119141;2.4220812321;22.415376663;;0.1606467366;;81.034675598;261.16226196;8.5;;;0.1000595987;0.0410337672;;;;7.9418005943;30000;1.0;1
35/11-11;1332.8756;530378.625;6775192.0;-1309.306641;HORDALAND GP.;Utsira Fm.;12.530328751;;1.019580245;0.9862146378;2.0886843204;100.16744995;;0.5050290227;3.2063510418;152.86401367;67.40296936;12.250000954;78.057006836;462.33758545;;0.004172272;;0.7335451841;72.412979126;;65000;1.0;2
31/6-8;1885.6924341;537152.6875;6713675.0;-1860.616699;VIKING GP.;Fensfjord Fm.;8.2577152252;;1.0736372471;0.6660947204;2.2543034554;47.472438812;;0.2140902728;;94.600021362;66.095870972;8.375;;;;-0.005473935;;;;;30000;1.0;1
33/6-3 S;3879.8332;445166.75;6829400.0;-3613.362305;SHETLAND GP.;Tryggvason Fm.;12.426163673;;1.4329965115;1.3833194971;2.5710644722;85.376220703;;0.3461402357;3.8650667667;93.524169922;;12.250000954;19.698699951;218.76225281;;-0.000755169;;;15.981911659;;65000;1.0;1
15/9-13;1483.44;437640.03125;6470978.0;-1458.377197;HORDALAND GP.;Utsira Fm.;13.622290611;;1.0160950422;1.0381760597;1.959277153;89.508155823;;0.4910843372;2.3692057133;150.20375061;55.901809692;;40.316699982;;;-0.005263038;0.1354038268;;;;65000;1.0;2
35/11-1;1392.1611228;535632.9375;6783532.5;-1367.095215;ROGALAND GP.;Sele Fm.;18.082206726;;0.9450652003;0.773856461;2.1698999405;106.17378235;;;2.4942321777;140.7976532;50.304714203;;;;;-0.010472728;;;;;65000;1.0;2
25/8-5 S;1320.0784;463963.625;6591327.5;-1294.653198;HORDALAND GP.;Grid Mb.;12.932420731;1.0664591789;0.927770257;0.7787878513;2.083530426;93.178512573;;0.8467795253;10.175013542;141.09759521;-236.0313568;12.250000954;41.392505646;;0.6824193597;-0.031456597;1.1982640028;0.2462309301;;0.2336143702;65000;1.0;2
25/7-2;3080.072;454818.25;6571013.5;-3054.237793;SHETLAND GP.;Tryggvason Fm.;12.84762001;12.32626152;7.4685983658;0.9802354574;2.6571669579;16.990236282;;;;63.369445801;;12.250000954;6.0641727448;;0.5836328864;-0.003877953;;9.6593418121;;8.6285686493;70000;1.0;1
35/11-10;2844.8878779;528279.4375;6765247.5;-2822.011719;DUNLIN GP.;Cook Fm.;8.6767253876;4.5394711494;4.5383014679;4.3559904099;2.4849960804;79.104003906;;0.2313743085;;73.37411499;-127.2838287;8.5;;132.87437439;;0.0074829594;;3.605050087;;3.6142663956;65000;1.0;1
31/5-4 S;1801.678;531005.75;6732211.0;-1619.735718;VIKING GP.;Sognefjord Fm.;8.6216688156;0.3872671723;0.5077475905;0.6799750924;2.1294865608;68.471618652;;0.3023048341;;105.96986389;72.142570496;;;;;-0.012641077;;;;0.3872671723;30000;1.0;1
34/7-20;1348.318;448296.5625;6812830.5;-1322.285889;HORDALAND GP.;Utsira Fm.;18.314506531;0.6038698554;0.7232547998;0.8149085641;2.0195090771;83.105712891;;;;155.75541687;19.363945007;;;;;0.0010089627;;;;;65000;1.0;2
34/10-21;1780.2584034;454136.53125;6777263.0;-1750.986694;HORDALAND GP.;Utsira Fm.;17.690944672;0.5507948995;0.7209236026;0.7243611813;1.9185732603;38.719562531;;;5.070333004;161.98873901;20.244819641;;;;;0.0210745204;;;;0.5408271551;65000;2.0;2
16/1-2;2889.2360015;455221.34375;6533321.5;-2864.236084;ROTLIEGENDES GP.;Kupferschiefer Fm.;8.0760974884;5.3044424057;5.3343906403;2.4052028656;2.4128665924;148.72674561;;0.1246990934;;67.714073181;89.232719421;8.5;194.97442627;;;0.0904604048;1.0784375668;;;;30000;2.0;1
33/5-2;4221.7360691;426936.28125;6837586.0;-4194.578125;VIKING GP.;Heather Fm.;9.0625;7.5767045021;4.9773187637;3.825514555;2.6660525799;109.16752625;;0.2978999913;;85.802536011;69.649116516;8.5;;;;0.0297595225;;;;;65000;1.0;1
25/5-1;1823.688;475861.0625;6621555.0;-1798.366089;HORDALAND GP.;Grid Fm.;19.820146561;;0.5828465819;0.5345150828;1.8135917187;31.917770386;;;3.9151158333;147.81819153;72.306510925;;2.5399119854;;;0.0613424666;0.1366020888;;;;65000;1.0;2
25/6-3;1915.4357289;495725.75;6618261.0;-1889.754517;HORDALAND GP.;Skade Fm.;8.6961698532;0.8428999782;0.9186012745;0.8234324455;2.2417221069;71.823326111;;0.4448139369;;132.26261902;;8.5;53.993549347;373.56948853;;;0.1533777863;0.8428999782;;;65000;1.0;2
25/5-4;2232.8723052;470378.625;6608145.5;-2207.358887;ROGALAND GP.;Lista Fm.;12.367247581;;1.2584702969;1.0736967325;2.3615171909;69.453239441;;;5.4988293648;106.36219025;78.333045959;12.250000954;;;0.1172457114;0.0485653654;;;;-999.9000244;65000;1.0;1
25/4-5;3251.5588051;454469.53125;6603730.0;-3226.259033;SHETLAND GP.;Kyrre Fm.;13.323368073;;1.7797687054;1.7346291542;2.5280809402;46.645019531;;0.2852016091;;88.213157654;;12.250000954;;;1.0733684301;0.0;;;;;80000;1.0;1
35/8-6 S;3226.3668;518310.9375;6798779.0;-2916.576904;SHETLAND GP.;Kyrre Fm.;12.390469551;;1.869895339;1.9421261549;2.4919843674;75.165168762;;0.2300081551;5.2571473122;;;12.250000954;44.241958618;;;0.0260846596;;;34.822189331;;65000;1.0;1
35/11-1;2379.7051228;535652.9375;6783537.5;-2354.414063;VIKING GP.;Krossfjord Fm.;12.539099693;;5.1905055046;3.87160182;2.4978835583;97.177185059;;0.2957757115;3.5404469967;89.203552246;22.082372665;;;;;-0.023097537;;;;;65000;1.0;1
17/11-1;1591.849016;520153.1875;6452287.5;-1564.848999;CROMER KNOLL GP.;Sola Fm.;13.508803368;1.3327227831;1.8379912376;1.6864777803;2.33786273;66.131561279;;0.3036869466;;102.30908966;32.555690765;;100.0;;;0.0215997193;1.1982640028;;;;30000;1.0;1
35/4-1;4084.132;516116.21875;6822434.5;-4056.805176;BAAT GP.;Heather Fm.;9.2186403275;;4.3075146675;3.6465380192;2.4930212498;72.820129395;;0.3144498765;8.536072731;85.49772644;;8.5;14.513600349;137.36701965;;0.011813445;;;;;65030;1.0;1
16/10-1;2702.9997898;444170.21875;6435570.0;-2677.505859;SHETLAND GP.;Svarte Fm.;8.8515996933;;4.0489821434;3.2550930977;2.5635197163;39.535503387;;0.1324919611;4.270532608;74.898880005;111.75547028;8.5;2.6973278522;;0.3515996933;-0.002187605;0.1557743102;;;;70000;2.0;1
31/3-1;1486.845;540000.6875;6738654.0;-1463.645874;VIKING GP.;Sognefjord Fm.;12.473148346;1.9755599499;36.48298645;18.349256516;2.0025918484;59.030773163;;0.1440615952;;132.00579834;113.0127182;12.250000954;;;;-0.03548;;1.8414233923;;;30000;1.0;2
34/10-35;1351.215;463378.28125;6771056.5;-1328.12561;HORDALAND GP.;Utsira Fm.;17.100000381;;0.7058559656;0.7066360116;2.0547599792;17.779472351;;;3.8160560131;133.27095032;54.979438782;;;;;-0.009404;;;;;30000;1.0;2
16/4-1;2459.7936039;449958.53125;6500261.5;-2434.068115;ZECHSTEIN GP.;Smith Bank Fm.;12.622920036;1767.4046631;;67.240852356;2.9761636257;14.088591576;;-0.009676964;;51.400932312;90.492874146;12.250000954;28.25345993;;0.3729206622;-0.010479363;0.1497830003;;;317.59194946;86000;1.0;1
33/9-17;1204.0019854;438471.4375;6814182.0;-1177.849731;HORDALAND GP.;Utsira Fm.;12.954976082;1.0174348354;0.9203644991;1.0513939857;1.996515274;60.084049225;;0.4213387072;18.056379318;155.26428223;21.261156082;12.250000954;;;;-0.005024462;;;31.939203262;;65000;1.0;2
16/5-3;1553.374;474410.84375;6510408.5;-1531.342041;SHETLAND GP.;Tor Fm.;8.6132106781;;2.0626986027;2.0576164722;2.3642935753;22.403944016;;0.2226958126;4.9769492149;80.398727417;;8.5;14.055771828;150.35839844;;-0.004592899;;2.5302557945;14.662952423;;70032;1.0;1
25/2-13 T4;1278.336;469364.78125;6628722.0;-1255.323486;HORDALAND GP.;Utsira Fm.;18.854646683;1.6231458187;1.4165914059;1.8842095137;1.9887626171;63.617599487;;;2.7743186951;127.99702454;21.016658783;17.5;;;1.3546437025;0.0310596824;;;;;65000;1.0;2
25/2-13 T4;3008.096;469355.34375;6628711.5;-2982.731934;SHETLAND GP.;Hardraade Fm.;12.549731255;3.056978941;2.6364753246;2.5790030956;2.6005017757;35.810516357;;;5.2278337479;80.565086365;108.57363129;12.250000954;;;0.2997341454;0.0104565807;;;;;80000;1.0;1
30/3-5 S;3987.9935862;496712.75;6739831.0;-2845.386719;VIKING GP.;Lista Fm.;9.0632591248;;5.0999326706;5.1133971214;2.5350248814;97.642967224;;0.3546518683;3.7037065029;93.767730713;;;;;;0.0072548976;;;;;65000;1.0;1
15/9-15;1627.232;436812.25;6462994.0;-1602.169312;HORDALAND GP.;Utsira Fm.;13.514163971;0.8300811052;0.8300811052;0.7965050936;2.0574681759;80.753234863;;0.526610136;2.219704628;166.3021698;65.977752686;12.250000954;55.856563568;;1.2641648054;0.052016601;0.1366020888;;;0.5399132967;65000;1.0;2
31/2-7;1129.2649316;524585.1875;6747129.0;-1104.243042;HORDALAND GP.;;18.965578079;;1.2921634912;1.4161094427;2.121945858;92.954833984;;0.5095262527;;140.50163269;65.650001526;;;;;0.0301722568;;;;;65000;1.0;2
7/1-1;794.72079956;450395.46875;6406647.5;-760.7156372;NORDLAND GP.;;18.144882202;1.2721935511;1.2737915516;1.2347513437;;50.336338043;;;;169.66792297;31.979530334;17.5;1.1301842928;;0.6448815465;;1.3899862766;;;;65000;1.0;2
35/11-12;3028.33;520568.5625;6777336.5;-3004.008789;VIKING GP.;Draupne Fm.;8.935549736;;4.6794242859;5.1452212334;2.4538533688;167.75794983;;0.4219114482;6.7222332954;101.15215302;;8.5;28.678638458;187.48207092;;0.0155801466;;;;;65000;1.0;1
31/4-10;1648.8603926;510285.90625;6721196.0;-1626.808472;HORDALAND GP.;Utsira Fm.;12.36760807;1.0026433468;0.7959789038;0.8462966681;1.9795503616;75.267997742;;;;146.88514709;142.10864258;;;;;;;;108.68283081;0.9746232033;65000;1.0;2
31/3-1;1157.157;539998.5625;6738654.0;-1133.997559;ROGALAND GP.;Lista Fm.;;;0.7208064198;0.6199775934;2.1281263828;88.826095581;;;;146.9382019;65.951278687;;;;;-0.01123493;;;;;65000;1.0;2
33/6-3 S;3861.5932;445159.875;6829401.5;-3596.567871;SHETLAND GP.;Tryggvason Fm.;12.447501183;;1.3038740158;1.2786294222;2.582205534;85.966300964;;0.3671900332;4.1180329323;97.351501465;;12.250000954;18.918424606;226.09037781;;-0.001685304;;;19.127960205;;65000;1.0;1
31/3-3;1411.794;545905.5625;6744786.0;-1384.635864;CROMER KNOLL GP.;Lista Fm.;;1.7167019844;1.7165503502;1.6796536446;2.3722887039;62.999557495;;0.1634405702;;101.60048676;20.984336853;;;;;0.0096479999;;;;;70000;1.0;1
30/6-5;746.6664;497437.21875;6728313.0;-721.6635742;NORDLAND GP.;Utsira Fm.;23.026672363;2.1011576653;1.367231369;1.4377504587;;45.867778778;;;;141.89305115;47.899627686;;873.8739624;;;;;;;2.0701816082;65000;1.0;2
35/9-6 S;3583.504;536943.0625;6804540.5;-3507.885498;DUNLIN GP.;Drake Fm.;8.5501804352;;15.938253403;16.21764183;2.641780138;111.55532074;;0.1696320176;3.4777173996;76.282493591;;;;;;-0.003089994;;12.693004608;9.4625358582;;65000;1.0;1
16/1-2;2722.9480015;455221.34375;6533321.5;-2697.947998;ZECHSTEIN GP.;Smith Bank Fm.;13.028623581;3.0245978832;3.0321433544;3.0032012463;2.4526541233;107.28656006;;0.2651038766;;79.334907532;109.76161194;8.5;44.620731354;;;0.0887451544;1.1742987633;;;;65000;2.0;1
33/6-3 S;3357.5612;444866.40625;6829465.0;-3193.039307;SHETLAND GP.;Tryggvason Fm.;12.100621223;;1.6519999504;1.6569780111;;73.73072052;;0.2893556952;;96.821174622;;12.250000954;30.311599731;197.84857178;;;;;27.783432007;;65000;1.0;1
25/4-5;894.03880505;454469.53125;6603730.0;-868.7388306;HORDALAND GP.;Skade Mb.;17.970087051;;0.9023591876;1.3428347111;2.0468363762;35.35912323;;0.4399776161;;154.85450745;;17.5;;;0.9476236701;-0.04222041;;;;;30000;1.0;2
16/7-4;1838.092;442819.53125;6461121.0;-1813.032104;HORDALAND GP.;Utsira Fm.;11.872458458;;1.1534579992;0.668456912;2.1405937672;74.830535889;;0.4092224836;;120.30912781;123.72673798;12.250000954;2.9261918068;;-0.377539128;0.0753176957;0.1366020888;;;;65000;1.0;2
31/3-2;1059.6329011;536840.125;6748637.0;-1034.593994;HORDALAND GP.;;;;0.8577058911;0.7730000019;1.9820348024;87.507362366;;0.4521673322;;158.77340698;155.125;;;;;-0.004604549;;;;;65000;1.0;2
16/10-1;816.67978984;444150.75;6435550.0;-791.631897;NORDLAND GP.;;17.6801548;0.5697115064;1.0320371389;1.0785962343;;105.45514679;;;;156.396698;77.521484375;17.5;20.494976044;;0.18015486;;0.1413951516;;;0.6515766978;65000;1.0;2
15/9-13;3075.184;437604.3125;6470983.5;-3049.633789;VESTLAND GP.;Smith Bank Fm.;9.2643756866;;2.647787571;2.4618635178;2.5274045467;92.488830566;;0.3184702098;;87.134277344;134.66059875;;3.9015433788;;;-0.000104692;0.1569725722;;;;65000;1.0;1
16/7-5;1537.2239852;446273.875;6468385.5;-1510.4021;HORDALAND GP.;Skade Fm.;9.1941423416;0.8599972725;0.8571417332;0.7512421608;2.0292999744;93.134536743;;0.4755910337;2.3788809776;152.67216492;60.107521057;;1.817299962;;;0.0006941184;1.1383508444;;;;65000;1.0;2
35/11-6;1517.0716;525002.8125;6784873.5;-1489.684814;HORDALAND GP.;Utsira Fm.;20.163042068;;0.7581954598;0.6914824247;1.8875995874;79.260795593;;;10.243094444;155.27508545;18.606472015;;;450.55587769;;0.0066433419;;;;;65000;1.0;2
35/12-1;1760.7028149;551769.375;6783878.5;-1734.497803;SHETLAND GP.;Kyrre Fm.;17.533668518;3.3827152252;1.8084392548;2.5286140442;2.3863174915;89.513435364;;;3.3045310974;107.24563599;178.31945801;17.5;;;;-0.0128925;;2.7996575832;;3.3833811283;65000;1.0;2
31/2-1;1259.0922;530202.375;6737678.5;-1235.065308;ROGALAND GP.;Sele Fm.;17.538856506;1.1710506678;1.1710506678;1.1190006733;2.0841464996;40.344810486;;0.5361551642;;147.63523865;38.119411469;17.5;;;;-7.2763e-05;;;;;65000;1.0;2
34/10-35;3539.559;463447.125;6771078.0;-3512.125977;SHETLAND GP.;Vaale Fm.;14.306534767;;2.6355159283;2.2068777084;2.5607440472;37.447437286;;;6.2695374489;83.238891602;83.211425781;;;;;0.0067432537;;;;;65030;1.0;1
31/2-8;2291.0769795;526934.875;6758510.5;-2265.934326;VIKING GP.;Heather Fm.;12.214061737;7.1286201477;4.0301437378;3.2601792812;2.4329738617;68.071723938;77.092079163;0.3440118432;4.0947985649;91.80316925;72.498451233;;;;;0.0145183504;;;;7.2845344543;65000;1.0;1
35/4-1;4185.364;516125.5625;6822435.0;-4157.604492;BAAT GP.;Heather Fm.;8.8195419312;;3.8422925472;4.0358481407;2.5869002342;62.827487946;;0.2730297446;5.7083511353;80.193916321;;8.5;;144.65953064;;0.003708923;;;;;30000;1.0;1
35/11-7;2689.918;531924.3125;6766801.5;-2660.657471;DUNLIN GP.;Amundsen Fm.;8.4650402069;1.3017504215;1.4932824373;1.04530406;2.2813351154;67.289573669;;0.2862985134;3.9470648766;91.741394043;34.564056396;8.5;;;;0.0089449035;;;;;65030;1.0;1
34/7-21;1244.83;450299.53125;6796000.0;-1218.801636;HORDALAND GP.;Utsira Fm.;17.637300491;;0.7978720069;0.5885400176;2.0931279659;71.922775269;;;7.4639320374;139.11323547;75.291007996;;;;;-0.044780727;;;;;65030;1.0;2
29/6-1;4509.8570007;444356.125;6711914.5;-4457.937012;DUNLIN GP.;Drake Fm.;9.9145078659;4.0472230911;3.5310950279;2.6937355995;2.4634404182;93.515541077;128.448349;0.290153265;238.92359924;88.73210144;59.708393097;;;;;0.0074082892;;;;4.0497069359;30000;1.0;0
31/2-8;1213.7009795;526927.875;6758510.5;-1188.641724;HORDALAND GP.;;17.723211288;;0.8065632582;0.8055778146;2.0925462246;72.299003601;;0.5344465375;;159.00109863;38.248840332;;;;;0.0004126961;;;;;65000;1.0;2
35/11-1;1612.8651228;535637.25;6783534.0;-1587.754517;ROGALAND GP.;Lista Fm.;19.967294693;;0.8122884631;0.7806323767;2.0038311481;108.52589417;;;4.9507231712;141.62753296;61.220001221;;;;;-0.006567382;;;;;65000;1.0;2
16/11-1 ST3;2298.0652007;;;;ZECHSTEIN GP.;Smith Bank Fm.;12.929543495;485.30807495;;;2.9385478497;12.79656601;;-0.012213971;;53.18132019;;12.250000954;29.427934647;;;0.0009118041;1.4019688368;;;;86000;1.0;1
